Zipcode,City,Zhvi,YoY,Rank
98039,Medina,2226300,0.229117209,1
99353,West Richland,263700,0.183041723,2
98648,Stevenson,244500,0.182301741,3
98102,Seattle,501900,0.168296089,4
98802,East Wenatchee Bench,248800,0.168075117,5
99343,Mesa,146600,0.164416203,6
98103,Seattle,606900,0.164204872,7
98105,Seattle,751700,0.163442192,8
98601,Amboy,341200,0.162521295,9
98856,Twisp,228900,0.157814871,10
98122,Seattle,555100,0.157664234,11
98107,Seattle,565000,0.149074639,12
98109,Seattle,554400,0.144508671,13
99337,Kennewick,226400,0.144012127,14
99326,Connell,142300,0.142971888,15
99352,Richland,275900,0.142916321,16
98198,Des Moines,284200,0.14274226,17
98110,Bainbridge Island,636500,0.142523784,18
99338,Kennewick,299500,0.140952381,19
98116,Seattle,590500,0.13996139,20
98178,Bryn Mawr-Skyway,313900,0.139796659,21
98126,Seattle,436500,0.139389193,22
98007,Bellevue,517200,0.138956177,23
98310,Bremerton,205900,0.138827434,24
99336,Kennewick,179000,0.136507937,25
98106,Seattle,341100,0.135864136,26
98055,Renton,322600,0.135116115,27
99354,Richland,216600,0.134625458,28
98104,Seattle,448800,0.133906013,29
98115,Seattle,619900,0.133272395,30
98146,Burien,331700,0.130538514,31
98663,Vancouver,235900,0.130330618,32
98056,Renton,403800,0.130142737,33
98664,Vancouver,234100,0.129281235,34
98148,Burien,295900,0.128527841,35
99001,Airway Heights,149300,0.127643505,36
98004,Bellevue,931100,0.127376196,37
98136,Seattle,546300,0.126391753,38
98118,Seattle,395900,0.126315789,39
98532,Chehalis,202000,0.125348189,40
98665,Hazel Dell North,256500,0.125,41
98274,Mount Vernon,274000,0.123872026,42
98030,Kent,302200,0.123837858,43
98040,Mercer Island,1131400,0.122754788,44
98005,Bellevue,736200,0.122427199,45
98277,Oak Harbor,255500,0.12209047,46
98404,Tacoma,175800,0.12188896,47
98405,Tacoma,198500,0.121468927,48
98661,Vancouver,225900,0.120535714,49
98233,Burlington,233100,0.119059049,50
98020,Edmonds,542500,0.118787379,51
98674,Woodland,282000,0.118603729,52
98662,Five Corners,234500,0.118264187,53
98671,Washougal,306800,0.118075802,54
98002,Auburn,233800,0.117590822,55
98675,Yacolt,319300,0.116824064,56
98682,Vancouver,239000,0.11682243,57
99006,Deer Park,199700,0.11626607,58
98801,Wenatchee,234400,0.116190476,59
98177,Shoreline,586900,0.115567383,60
98684,Vancouver,246300,0.114479638,61
98273,Mount Vernon,235600,0.114474929,62
98001,Lakeland North,291700,0.11420932,63
98121,Seattle,436200,0.114176245,64
98031,East Hill-Meridian,318400,0.11406578,65
99009,Elk,214500,0.113707165,66
99133,Grand Coulee,83500,0.113333333,67
98444,Parkland,181700,0.112676056,68
98604,Battle Ground,308800,0.112391931,69
98922,Cle Elum,261200,0.111489362,70
99204,Spokane,177100,0.110344828,71
98133,Shoreline,408800,0.11026616,72
98168,Burien,264500,0.109479866,73
98125,Seattle,457400,0.108848485,74
98045,North Bend,413300,0.108637339,75
98828,Malaga,227600,0.108621529,76
99217,Spokane,152200,0.108521486,77
98021,Bothell,462000,0.107913669,78
98424,Fife,262700,0.107504216,79
98144,Seattle,482100,0.107257694,80
98596,Winlock,177700,0.107165109,81
98408,Tacoma,178400,0.106699752,82
98516,Lacey,288700,0.106554235,83
98360,Orting,256500,0.106080207,84
98117,Seattle,591200,0.10587355,85
99350,Prosser,192500,0.105686387,86
98524,Allyn,262300,0.105351875,87
98563,Montesano,158600,0.105226481,88
98032,Kent,264500,0.104845447,89
98683,Vancouver,297600,0.10467706,90
98407,Tacoma,295700,0.104594696,91
98026,Edmonds,407300,0.104392625,92
98660,Vancouver,226400,0.104390244,93
98312,Bremerton,211600,0.104384134,94
98409,Tacoma,165200,0.104278075,95
98321,Buckley,300500,0.103562248,96
98606,Brush Prairie,426800,0.103127423,97
98119,Seattle,696600,0.103087886,98
98019,Duvall,477400,0.103049908,99
98686,Barberton,300700,0.102676934,100
98108,Seattle,384200,0.102122777,101
98029,Issaquah,565900,0.101830218,102
98311,Bremerton,249600,0.101500441,103
98033,Kirkland,675300,0.101451639,104
98252,Granite Falls,236700,0.101442531,105
98155,Shoreline,411100,0.101259041,106
98258,Lake Stevens,309200,0.101139601,107
99208,Spokane,199300,0.101104972,108
98445,Parkland,216800,0.101066531,109
98284,Sedro-Woolley,212700,0.100931677,110
98570,Onalaska,193000,0.100342075,111
98092,Auburn,333500,0.099934037,112
98239,Coupeville,312100,0.098943662,113
98372,Puyallup,296200,0.098664688,114
98546,Grapeview,304100,0.098627168,115
98557,McCleary,140500,0.098514464,116
98188,Seatac,262100,0.098491199,117
98003,Federal Way,254300,0.098488121,118
98941,Roslyn,163400,0.09811828,119
98006,Bellevue,732500,0.098036276,120
98221,Anacortes,346100,0.097684745,121
98058,Renton,347500,0.097599495,122
98588,Tahuya,228600,0.096928983,123
98036,Lynnwood,373500,0.0969163,124
99320,Benton City,172400,0.095994914,125
98354,Milton,266100,0.095963756,126
99218,Fairwood,205600,0.095948827,127
98008,Bellevue,593700,0.095791805,128
98358,Nordland,417800,0.095725151,129
98112,Seattle,911300,0.09557586,130
99212,Spokane Valley,148200,0.095343681,131
98236,Clinton,361100,0.094906004,132
98012,Bothell,419400,0.094753328,133
98037,Lynnwood,368000,0.094586556,134
98275,Mukilteo,470600,0.093909809,135
98629,La Center,346600,0.093720417,136
98282,Camano Island,327200,0.093582888,137
98043,Mountlake Terrace,301800,0.093478261,138
98685,Salmon Creek,302100,0.092585895,139
98038,Maple Valley,371700,0.091950646,140
98296,Snohomish,482300,0.091917591,141
98642,Ridgefield,364600,0.091290033,142
98391,Bonney Lake,309700,0.091261452,143
98506,Olympia,258500,0.091177712,144
98203,Everett,288400,0.08994709,145
98383,Silverdale,306600,0.089939566,146
98325,Chimacum,254100,0.088688946,147
98272,Monroe,318500,0.088516746,148
98087,Picnic Point-North Lynnwood,346700,0.087856919,149
99203,Spokane,216800,0.087807326,150
98270,Marysville,280100,0.08776699,151
99201,Spokane,120400,0.08762421,152
98232,Bow,382500,0.087574637,153
98418,Tacoma,170400,0.087428207,154
98024,Fall City,553500,0.087212728,155
98368,Port Townsend,292200,0.086649312,156
98373,South Hill,263800,0.086490939,157
98607,Camas,378600,0.086370158,158
98375,South Hill,252000,0.086206897,159
98034,Kirkland,452400,0.086194478,160
98065,Snoqualmie,500500,0.086154514,161
98501,Olympia,269200,0.085921743,162
98059,Renton,436200,0.085884989,163
98042,Covington,333400,0.085639857,164
99021,Mead,237300,0.085544373,165
98337,Bremerton,154600,0.084912281,166
98267,Marblemount,147600,0.084496694,167
99301,Pasco,172500,0.084223759,168
99004,Cheney,186000,0.083916084,169
98512,Tumwater,270200,0.083834737,170
98531,Centralia,152900,0.083628632,171
98320,Brinnon,206700,0.083333333,172
98249,Freeland,343500,0.083254494,173
98023,Federal Way,294200,0.083210604,174
98052,Redmond,586100,0.083163925,175
98625,Kalama,255600,0.083050847,176
98502,Olympia,288800,0.082864642,177
99223,Spokane,223600,0.082808717,178
98926,Ellensburg,207700,0.082334549,179
98387,Spanaway,224800,0.082330284,180
99323,Burbank,227900,0.082146249,181
98374,South Hill,266200,0.081674116,182
99037,Spokane Valley,224000,0.081081081,183
98101,Seattle,473100,0.080877313,184
98848,Quincy,157600,0.080191912,185
98626,Kelso,160300,0.080188679,186
98831,Manson,325600,0.079575597,187
98499,Lakewood,210300,0.079568789,188
98208,Seattle Hill-Silver Firs,347400,0.079217148,189
98260,Langley,368100,0.079155673,190
98223,Arlington,298900,0.079061372,191
98014,Carnation,482300,0.078970917,192
98264,Lynden,290800,0.077835434,193
98541,Elma,149700,0.07775378,194
98271,Marysville,265600,0.077484787,195
